0000020010120170307PRAUD2*J17 19291520170403000000000000000006000000000000016865970000000540836000002213000000060000011800000+0000000000000+00000000+02382200+02378800+02382700+0238219900005+0237880016260020170307+02381800+00000000+0000023811180S+0000023821240 00000000060360000000000000000000000000000000000000000003400000000-00010060-0000000000000000000000000000000000000000000000190002700019    0000000000000000000000000000000000001                    AUDJ17              EMERC2017033120170403+0000002239200+0000002525000
0000040010120170307PRAUD2*K17 19291520170502000000000000000006000000000000000000000000000000000000000011000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170220+02408300+00000000+0000023946900S+0000023953650 00000000040500000000000000000000000000000000000000000003400000000-00006750-0000000000000000000000000000000000000000000000370005600037    0000000000000000000000000000000000002                    AUDK17              EMERC2017042820170502+0000002251700+0000002539000
0000060010120170307PRAUD2*M17 19291520170601000000000000000006000000000000000000000000000000000000000180000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170301+02425700+00000000+0000024113190S+0000024125420 00000000073380000000000000000000000000000000000000000003400000001-00012230-0000000000000000000000000000000000000000000000590008600059    0000000000000000000000000000000000003                    AUDM17              EMERC2017053120170601+0000002267800+0000002557200
0000080010120170307PRBGI2*F18 19291520180131000000000000000033000000000000000000000000000000000000000002000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170303+00014594+00000000+0000000014497S+0000000014498 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000002260033000223    0000000000000000000000000020180131009                    BGIF18              EMERC2018013120180201+0000000013990+0000000015004
0000100010120170307PRBGI2*H17 19291520170331000000000000000033000000000000006796524000000218187000001214000000410000014400015+0001431000010+00014320+00014250+00014200+00014315+0001430200002+0001431116120020170307+00014301+00000000+0000000014311S+0000000014301 00000000033000000000000000000000000000000000000000000002200000001+00000010+0000000000000000000000000000000000000000000000180002400018    0000000000000000000000000020170331001                    BGIH17              EMERC2017033120170403+0000000013811+0000000014811
0000120010120170307PRBGI2*J17 19291520170428000000000000000033000000000000000000000000000000000000000018000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170306+00014200+00000000+0000000014237S+0000000014238 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000000360005200036    0000000000000000000000000020170428002                    BGIJ17              EMERC2017042820170502+0000000013739+0000000014735
0000140010120170307PRBGI2*K17 19291520170531000000000000000033000000000000034755283000001115739400004892000001680000074600001+0001412600016+00014140+00014120+00014081+00014140+0001411800001+0001414015590020170307+00014128+00000000+0000000014126S+0000000014127 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000000580008500058    0000000000000000000000000020170531003                    BGIK17              EMERC2017053120170601+0000000013632+0000000014620
0000160010120170307PRBGI2*M17 19291520170630000000000000000033000000000000000000000000000000000000000004000000000000000000000+0000000000001+00014220+00000000+00000000+00000000+0000000000000+0000000000000020170221+00014150+00000000+0000000014200S+0000000014201 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000000790011500079    0000000000000000000000000020170630004                    BGIM17              EMERC2017063020170703+0000000013703+0000000014697
0000180010120170307PRBGI2*N17 19291520170731000000000000000033000000000000000000000000000000000000000002000000000000000000000+0000000000002+00014290+00000000+00000000+00000000+0000000000000+0000000000000020170301+00014260+00000000+0000000014267S+0000000014268 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000001000014600100    0000000000000000000000000020170731005                    BGIN17              EMERC2017073120170801+0000000013768+0000000014766
0000400010120170307PRBGI4CHKI919291520170331000000001460000033000000000000000000000000000000000000000027000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170123+00000095+00000000+0000000000009 +0000000000009 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17C014600       EMERC2017033120170403+0000000000000+0000000000000
0000420010120170307PRBGI4VHKMK19291520170331000000001420000033000000000000000000000000000000000000000201000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170221+00000100+00000000+0000000000037 +0000000000042 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17P014200       EMERC2017033120170403+0000000000000+0000000000000
0000440010120170307PRBGI4VHKMM19291520170331000000001430000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170203+00000118+00000000+0000000000074 +0000000000081 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17P014300       EMERC2017033120170403+0000000000000+0000000000000
0000460010120170307PRBGI4VHKMP19291520170331000000001440000033000000000000000000000000000000000000000080000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170131+00000220+00000000+0000000000132 +0000000000141 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17P014400       EMERC2017033120170403+0000000000000+0000000000000
0000480010120170307PRBGI4VHKMR19291520170331000000001410000033000000000000000000000000000000000000000232000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170216+00000050+00000000+0000000000017 +0000000000020 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17P014100       EMERC2017033120170403+0000000000000+0000000000000
0000500010120170307PRBGI4VHKM619291520170331000000001400000033000000000000000000000000000000000000000001000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020161207+00000045+00000000+0000000000007 +0000000000008 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17P014000       EMERC2017033120170403+0000000000000+0000000000000
0000520010120170307PRBGI4VHKM719291520170331000000001450000033000000000000000000000000000000000000000057000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170123+00000230+00000000+0000000000208 +0000000000218 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17P014500       EMERC2017033120170403+0000000000000+0000000000000
0000540010120170307PRBGI4VHKM919291520170331000000001460000033000000000000000000000000000000000000000158000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170123+00000295+00000000+0000000000296 +0000000000305 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17P014600       EMERC2017033120170403+0000000000000+0000000000000
0000560010120170307PRBGI4CJKIB19291520170428000000001430000033000000000000000000000000000000000000000168000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170306+00000115+00000000+0000000000099 +0000000000101 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000360005200036J17 0000000000000000000000000000000000000                    BGIJ17C014300       EMERC2017042820170502+0000000000000+0000000000000
0000580010120170307PRBGI4CJKI419291520170428000000001470000033000000000000000000000000000000000000000040000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170118+00000125+00000000+0000000000014 +0000000000015 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000360005200036J17 0000000000000000000000000000000000000                    BGIJ17C014700       EMERC2017042820170502+0000000000000+0000000000000
0000600010120170307PRBGI4CJKI819291520170428000000001410000033000000000000000000000000000000000000000007000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170203+00000199+00000000+0000000000206 +0000000000209 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000360005200036J17 0000000000000000000000000000000000000                    BGIJ17C014100       EMERC2017042820170502+0000000000000+0000000000000
0000620010120170307PRBGI4CJKI919291520170428000000001420000033000000000000000000000000000000000000000097000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170215+00000130+00000000+0000000000146 +0000000000148 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000360005200036J17 0000000000000000000000000000000000000                    BGIJ17C014200       EMERC2017042820170502+0000000000000+0000000000000
0000640010120170307PRBGI4VJKMB19291520170428000000001430000033000000000000000000000000000000000000000006000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170118+00000165+00000000+0000000000161 +0000000000162 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000360005200036J17 0000000000000000000000000000000000000                    BGIJ17P014300       EMERC2017042820170502+0000000000000+0000000000000
