0000020010120170303PRAUD2*J17 19372720170403000000000000000006000000000000028269108000000901323400002093000000030000019800000+0000000000000+00000000+02376100+02376100+02381800+0237955500010+0238180016430020170303+02393800+00000000+0000023766320S+0000023949670 00000001100100000000000000000000000000000000000000000003400000008-00183350-0000000000000000000000000000000000000000000000210003100021    0000000000000000000000000000000000001                    AUDJ17              EMERC2017033120170403+0000002251300+0000002538600
0000040010120170303PRAUD2*K17 19372720170502000000000000000006000000000000000000000000000000000000000011000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170220+02408300+00000000+0000023901060S+0000024084550 00000001100940000000000000000000000000000000000000000003400000008-00183490-0000000000000000000000000000000000000000000000390006000039    0000000000000000000000000000000000002                    AUDK17              EMERC2017042820170502+0000002264000+0000002552900
0000060010120170303PRAUD2*M17 19372720170601000000000000000006000000000000000000000000000000000000000180000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170301+02425700+00000000+0000024070540S+0000024254280 00000001102440000000000000000000000000000000000000000003400000008-00183740-0000000000000000000000000000000000000000000000610009000061    0000000000000000000000000000000000003                    AUDM17              EMERC2017053120170601+0000002280000+0000002570900
0000080010120170303PRBGI2*F18 19372720180131000000000000000033000000000000000096320000000003077700000000000000020000000200000+0000000000000+00000000+00014594+00014594+00014594+0001459400001+0001459412460020170303+00014925+00000000+0000000014493S+0000000014530 00000000122100000000000000000000000000000000000000000002200000003-00000037-0000000000000000000000000000000000000000000002280033400225    0000000000000000000000000000000000009                    BGIF18              EMERC2018013120180201+0000000013986+0000000015000
0000100010120170303PRBGI2*H17 19372720170331000000000000000033000000000000016528221000000528125700001158000000620000034900002+0001429000010+00014320+00014390+00014281+00014434+0001435100023+0001431816120020170303+00014319+00000000+0000000014318S+0000000014319 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000000200002800020    0000000000000000000000000020170331001                    BGIH17              EMERC2017033120170403+0000000013817+0000000014819
0000120010120170303PRBGI2*J17 19372720170428000000000000000033000000000000000000000000000000000000000018000000000000000000001+0001416500001+00014310+00000000+00000000+00000000+0000000000000+0000000000000020170217+00014106+00000000+0000000014240S+0000000014245 00000000016500000000000000000000000000000000000000000002200000000-00000005-0000000000000000000000000000000000000000000000380005600038    0000000000000000000000000020170428002                    BGIJ17              EMERC2017042820170502+0000000013742+0000000014738
0000140010120170303PRBGI2*K17 19372720170531000000000000000033000000000000039990215000001277805900004787000002670000085500006+0001412000003+00014149+00014140+00014104+00014215+0001417300001+0001414715590020170303+00014140+00000000+0000000014129S+0000000014134 00000000016500000000000000000000000000000000000000000002200000000-00000005-0000000000000000000000000000000000000000000000600008900060    0000000000000000000000000020170531003                    BGIK17              EMERC2017053120170601+0000000013635+0000000014623
0000160010120170303PRBGI2*M17 19372720170630000000000000000033000000000000000000000000000000000000000004000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170221+00014150+00000000+0000000014215S+0000000014227 00000000039600000000000000000000000000000000000000000002200000001-00000012-0000000000000000000000000000000000000000000000810011900081    0000000000000000000000000020170630004                    BGIM17              EMERC2017063020170703+0000000013718+0000000014712
0000180010120170303PRBGI2*N17 19372720170731000000000000000033000000000000000000000000000000000000000002000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170301+00014260+00000000+0000000014293S+0000000014310 00000000056100000000000000000000000000000000000000000002200000001-00000017-0000000000000000000000000000000000000000000001020015000102    0000000000000000000000000020170731005                    BGIN17              EMERC2017073120170801+0000000013793+0000000014793
0000400010120170303PRBGI4CHKI919372720170331000000001460000033000000000000000000000000000000000000000027000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170123+00000095+00000000+0000000000011 +0000000000013 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17C014600       EMERC2017033120170403+0000000000000+0000000000000
0000420010120170303PRBGI4VHKMK19372720170331000000001420000033000000000000000000000000000000000000000201000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170221+00000100+00000000+0000000000039 +0000000000040 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17P014200       EMERC2017033120170403+0000000000000+0000000000000
0000440010120170303PRBGI4VHKMM19372720170331000000001430000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170203+00000118+00000000+0000000000075 +0000000000077 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17P014300       EMERC2017033120170403+0000000000000+0000000000000
0000460010120170303PRBGI4VHKMP19372720170331000000001440000033000000000000000000000000000000000000000080000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170131+00000220+00000000+0000000000132 +0000000000133 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17P014400       EMERC2017033120170403+0000000000000+0000000000000
0000480010120170303PRBGI4VHKMR19372720170331000000001410000033000000000000000000000000000000000000000232000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170216+00000050+00000000+0000000000018 +0000000000019 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17P014100       EMERC2017033120170403+0000000000000+0000000000000
0000500010120170303PRBGI4VHKM619372720170331000000001400000033000000000000000000000000000000000000000001000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020161207+00000045+00000000+0000000000008 +0000000000008 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17P014000       EMERC2017033120170403+0000000000000+0000000000000
0000520010120170303PRBGI4VHKM719372720170331000000001450000033000000000000000000000000000000000000000057000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170123+00000230+00000000+0000000000205 +0000000000206 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17P014500       EMERC2017033120170403+0000000000000+0000000000000
0000540010120170303PRBGI4VHKM919372720170331000000001460000033000000000000000000000000000000000000000158000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170123+00000295+00000000+0000000000291 +0000000000291 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17P014600       EMERC2017033120170403+0000000000000+0000000000000
0000560010120170303PRBGI4CJKIB19372720170428000000001430000033000000000000000000000000000000000000000010000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170223+00000122+00000000+0000000000097 +0000000000101 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000380005600038J17 0000000000000000000000000000000000000                    BGIJ17C014300       EMERC2017042820170502+0000000000000+0000000000000
0000580010120170303PRBGI4CJKI419372720170428000000001470000033000000000000000000000000000000000000000040000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170118+00000125+00000000+0000000000013 +0000000000014 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000380005600038J17 0000000000000000000000000000000000000                    BGIJ17C014700       EMERC2017042820170502+0000000000000+0000000000000
