0000480010120130812PRBGI2*X13 18380620131129000000000000000033000000000000000375899000000016461500002834000000100000001100001+0001030000003+00010355+00010359+00010355+00010359+0001035500001+0001035516120020130812+00010359+00000000+0000000010355S+0000000010359 00000000013200000000000000000000000000000000000000000002200000000-00000004-0000000000000000000000000000000000000000000000780010900077    0000000000000000000000000020131129004                    BGIX13              EMERC2013112920131202+0000000009997+0000000010721
0000500010120130812PRBGI2*Z13 18380620131230000000000000000033000000000000000000000000000000000000000716000000000000000000005+0001022500005+00010320+00000000+00000000+00000000+0000000000000+0000000000000020130807+00010225+00000000+0000000010260S+0000000010300 00000000132000000000000000000000000000000000000000000002200000004-00000040-0000000000000000000000000000000000000000000000980014000096    0000000000000000000000000020131230005                    BGIZ13              EMERC2013123020140102+0000000009940+0000000010660
0000520010120130812PRBGI4CQFIL18380620130830000000000990000033000000000000000000000000000000000000000100000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130222+00000146+00000000+0000000000000 +0000000000221 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000140001800014Q13 0000000000000000000000000000000000000                    BGIQ13C009900       EMERC2013083020130902+0000000000000+0000000000000
0000540010120130812PRBGI4CQFIQ18380620130830000000001010000033000000000000000000000000000000000000000053000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130802+00000110+00000000+0000000000000 +0000000000082 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000140001800014Q13 0000000000000000000000000000000000000                    BGIQ13C010100       EMERC2013083020130902+0000000000000+0000000000000
0000560010120130812PRBGI4CQFIS18380620130830000000001020000033000000000000000000000000000000000000000660000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130807+00000058+00000000+0000000000000 +0000000000043 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000140001800014Q13 0000000000000000000000000000000000000                    BGIQ13C010200       EMERC2013083020130902+0000000000000+0000000000000
0000580010120130812PRBGI4CQFIT18380620130830000000001025000033000000000000000000000000000000000000000360000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130806+00000048+00000000+0000000000000 +0000000000030 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000140001800014Q13 0000000000000000000000000000000000000                    BGIQ13C010250       EMERC2013083020130902+0000000000000+0000000000000
0000600010120130812PRBGI4CQFIV18380620130830000000001030000033000000000000000000000000000000000000001216000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130808+00000024+00000000+0000000000000 +0000000000020 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000140001800014Q13 0000000000000000000000000000000000000                    BGIQ13C010300       EMERC2013083020130902+0000000000000+0000000000000
0000620010120130812PRBGI4CQFIW18380620130830000000001035000033000000000000000000000000000000000000000290000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130730+00000039+00000000+0000000000000 +0000000000013 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000140001800014Q13 0000000000000000000000000000000000000                    BGIQ13C010350       EMERC2013083020130902+0000000000000+0000000000000
0000640010120130812PRBGI4CQFIX18380620130830000000001040000033000000000000000000000000000000000000000370000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130729+00000027+00000000+0000000000000 +0000000000009 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000140001800014Q13 0000000000000000000000000000000000000                    BGIQ13C010400       EMERC2013083020130902+0000000000000+0000000000000
0000660010120130812PRBGI4CQFIY18380620130830000000001045000033000000000000000000000000000000000000000250000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130730+00000025+00000000+0000000000000 +0000000000005 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000140001800014Q13 0000000000000000000000000000000000000                    BGIQ13C010450       EMERC2013083020130902+0000000000000+0000000000000
