0000240010120130912PRAUD2*V13 18123420131001000000000000000006000000000000005201093000000228428700000806000000050000004100000+0000000000000+00000000+02117401+02112241+02117401+0211426500009+0211292716400020130912+02125569+00000000+0000021139100S+0000021287370 00000000889620000000000000000000000000000000000000000003400000007-00148270-0000000000000000000000000000000000000000000000130001900013    0000000000000000000000000000000000001                    AUDV13              EMERC2013093020131001+0000002001013+0000002256461
0000260010120130912PRAUD2*X13 18123420131101000000000000000006000000000000000000000000000000000000002175000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130911+02136015+00000000+0000021236600S+0000021386090 00000000896940000000000000000000000000000000000000000003400000007-00149490-0000000000000000000000000000000000000000000000360005000036    0000000000000000000000000000000000002                    AUDX13              EMERC2013103120131101+0000002010293+0000002266925
0000280010120130912PRAUD2*Z13 18123420131202000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130627+02070000+00000000+0000021314170 +0000021465510 00000000000000000000000000000000000000000000000000000003400000007-00151340-0000000000000000000000000000000000000000000000560008100055    0000000000000000000000000000000000003                    AUDZ13              EMERC2013112920131202+0000002017758+0000002275344
0000300010120130912PRBGI2*F14 18123420140131000000000000000033000000000000000690360000000030336200000051000000030000002000010+0001042000010+00010550+00010450+00010450+00010470+0001046000010+0001047013580020130912+00010450+00000000+0000000010420S+0000000010451 00000000102300000000000000000000000000000000000000000002200000003-00000031-0000000000000000000000000000000000000000000000980014100095    0000000000000000000000000020140131005                    BGIF14              EMERC2014013120140203+0000000010086+0000000010816
0000320010120130912PRBGI2*G14 18123420140228000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010432 +0000000010463 00000000000000000000000000000000000000000000000000000002200000003-00000031-0000000000000000000000000000000000000000000001180016900115    0000000000000000000000000000000000000                    BGIG14              EMERC2014022820140305+0000000010097+0000000010829
0000340010120130912PRBGI2*H14 18123420140331000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010276 +0000000010307 00000000000000000000000000000000000000000000000000000002200000003-00000031-0000000000000000000000000000000000000000000001370020000134    0000000000000000000000000000000000000                    BGIH14              EMERC2014033120140401+0000000009947+0000000010667
0000360010120130912PRBGI2*J14 18123420140430000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010161 +0000000010191 00000000000000000000000000000000000000000000000000000002200000003-00000030-0000000000000000000000000000000000000000000001570023000154    0000000000000000000000000000000000000                    BGIJ14              EMERC2014043020140502+0000000009835+0000000010547
0000380010120130912PRBGI2*K14 18123420140530000000000000000033000000000000002022306000000088865200000030000000220000006000003+0001018500005+00010250+00010220+00010201+00010220+0001021400020+0001022010070020130912+00010190+00000000+0000000010205S+0000000010230 00000000082500000000000000000000000000000000000000000002200000002-00000025-0000000000000000000000000000000000000000000001780026000175    0000000000000000000000000020140530006                    BGIK14              EMERC2014053020140602+0000000009872+0000000010588
0000400010120130912PRBGI2*M14 18123420140630000000000000000033000000000000000000000000000000000000000059000000000000000000010+0001010100010+00010250+00000000+00000000+00000000+0000000000000+0000000000000020130911+00010120+00000000+0000000010101S+0000000010120 00000000062700000000000000000000000000000000000000000002200000002-00000019-0000000000000000000000000000000000000000000001980029100195    0000000000000000000000000020140630007                    BGIM14              EMERC2014063020140701+0000000009766+0000000010474
0000420010120130912PRBGI2*U13 18123420130930000000000000000033000000000000060225716000002646469900004182000002260000171600001+0001060000013+00010608+00010649+00010596+00010695+0001063500001+0001060715590020130912+00010650+00000000+0000000010601S+0000000010644 00000000141900000000000000000000000000000000000000000002200000004-00000043-0000000000000000000000000000000000000000000000120001800012    0000000000000000000000000020130930001                    BGIU13              EMERC2013093020131001+0000000010272+0000000011016
