0000240010120140108PRAUD2*Q14 19441520140801000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021951270 +0000021850140 00000000000000000000000000000000000000000000000000000003400000005+00101130+0000000000000000000000000000000000000000000001410020500140    0000000000000000000000000000000000007                    AUDQ14              EMERC2014073120140801+0000002053914+0000002316114
0000260010120140108PRBGI2*F14 19441520140131000000000000000033000000000000058777332000002462496600006458000003360000157800000+0000000000000+00000000+00011292+00011270+00011335+0001128700005+0001128015590020140108+00011292+00000000+0000000011280S+0000000011294 00000000046200000000000000000000000000000000000000000002200000001-00000014-0000000000000000000000000000000000000000000000170002300017    0000000000000000000000000020140131001                    BGIF14              EMERC2014013120140203+0000000010899+0000000011689
0000280010120140108PRBGI2*F15 19441520150130000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010977 +0000000011010 00000000000000000000000000000000000000000000000000000002200000003-00000033-0000000000000000000000000000000000000000000002690038700265    0000000000000000000000000000000000000                    BGIF15              EMERC2015013020150202+0000000010625+0000000011395
0000300010120140108PRBGI2*G14 19441520140228000000000000000033000000000000000073649000000003085600000100000000020000000200000+0000000000000+00000000+00011159+00011159+00011159+0001115900001+0001115916120020140108+00011167+00000000+0000000011159S+0000000011150 00000000029700000000000000000000000000000000000000000002200000001+00000009+0000000000000000000000000000000000000000000000370005100037    0000000000000000000000000020140228002                    BGIG14              EMERC2014022820140305+0000000010760+0000000011540
0000320010120140108PRBGI2*G15 19441520150227000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010885 +0000000010918 00000000000000000000000000000000000000000000000000000002200000003-00000033-0000000000000000000000000000000000000000000002870041500283    0000000000000000000000000000000000000                    BGIG15              EMERC2015022720150302+0000000010536+0000000011300
0000340010120140108PRBGI2*H14 19441520140331000000000000000033000000000000002143581000000089806100000149000000100000005900000+0000000000000+00000000+00011010+00010990+00011010+0001101000001+0001099016140020140108+00011030+00000000+0000000010990S+0000000010993 00000000009900000000000000000000000000000000000000000002200000000-00000003-0000000000000000000000000000000000000000000000560008200056    0000000000000000000000000020140331003                    BGIH14              EMERC2014033120140401+0000000010609+0000000011377
0000360010120140108PRBGI2*H15 19441520150331000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010968 +0000000011001 00000000000000000000000000000000000000000000000000000002200000003-00000033-0000000000000000000000000000000000000000000003090044700305    0000000000000000000000000000000000000                    BGIH15              EMERC2015033120150401+0000000010616+0000000011386
0000380010120140108PRBGI2*J14 19441520140430000000000000000033000000000000000000000000000000000000000003000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020140107+00010892+00000000+0000000010899S+0000000010892 00000000023100000000000000000000000000000000000000000002200000001+00000007+0000000000000000000000000000000000000000000000760011200076    0000000000000000000000000020140430004                    BGIJ14              EMERC2014043020140502+0000000010511+0000000011273
0000400010120140108PRBGI2*J15 19441520150430000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010572 +0000000010604 00000000000000000000000000000000000000000000000000000002200000003-00000032-0000000000000000000000000000000000000000000003290047700325    0000000000000000000000000000000000000                    BGIJ15              EMERC2015043020150504+0000000010233+0000000010975
0000420010120140108PRBGI2*K14 19441520140530000000000000000033000000000000002406911000000100838400001522000000180000006700000+0000000000000+00000000+00010890+00010860+00010905+0001088600004+0001089616170020140108+00010880+00000000+0000000010896S+0000000010880 00000000052800000000000000000000000000000000000000000002200000001+00000016+0000000000000000000000000000000000000000000000970014200097    0000000000000000000000000020140530005                    BGIK14              EMERC2014053020140602+0000000010500+0000000011260
